"segment_id","avgspeed_ms","avgacc_mss","maxspeed_ms","minspeed_ms","maxacc_mss","minacc_mss","seg_dist_m","seg_avgdir","seg_time_s","geometry"
"1","1",4.28384297032066,3.85667625130347,13.3017898069418,0.0351485779335897,12.1133332041148,-0.341394572813925,2581.94764828625,163.294099489607,2140,c(2682471.41356586, 2682471.45328335, 2682471.46255788, 2682471.57456009, 2682471.838911, 2682472.12776936, 2682473.38853763, 2682473.86282135, 2682474.290801, 2682475.10586586, 2682476.67129948, 2682477.21632236, 2682477.51461113, 2682478.32397521, 2682478.47771665, 2682478.65058684, 2682479.14882516, 2682479.19415074, 2682479.68093602, 2682480.16849993, 2682480.842101, 2682480.98626719, 2682481.81490728, 2682483.16663232, 2682483.34386415, 2682484.49060801, 2682485.25851812, 2682486.79663148, 2682487.03800428, 
2682487.29018438, 2682487.39828384, 2682491.34997224, 2682494.27075034, 2682494.68633771, 2682496.35851731, 2682499.41956575, 2682501.52753984, 2682501.55306545, 2682511.01282967, 2682521.95955648, 2682526.29665098, 2682564.54871449, 2682646.19594109, 2682692.32490469, 2682692.94434099, 2682693.26655176, 2682696.11774004, 2682697.86509218, 2682698.45421687, 2682704.91080253, 2682707.51975085, 2682708.25812714, 2682715.46339837, 2682716.14140823, 2682717.20775288, 2682717.46898327, 2682718.19287066, 
2682719.27305387, 2682721.08195306, 1242460.56733797, 1242474.02203458, 1242473.35501586, 1242440.8331255, 1242500.65770987, 1242433.66898067, 1243604.14321562, 1242599.75730887, 1243422.41311955, 1243602.94399091, 1243311.03229362, 1243013.65824752, 1243630.83099488, 1243597.09559876, 1242732.69512872, 1242948.57561201, 1243271.48256508, 1243716.58310824, 1243271.26758245, 1243059.56577468, 1243095.37879259, 1243541.53682452, 1242851.49392555, 1243113.03496942, 1243274.20950792, 1243824.84627447, 
1243122.96010427, 1243156.39453793, 1243266.75545925, 1244210.38697995, 1243219.11490972, 1243913.11669789, 1243915.0475898, 1243896.03958946, 1244188.71954089, 1244188.70653339, 1244243.6090598, 1243945.72663752, 1244175.69162416, 1244032.62895686, 1244122.86583184, 1244266.00197265, 1244288.59945115, 1244591.8883307, 1244617.00781532, 1244617.83698289, 1244323.54244915, 1244554.08620561, 1244622.01417633, 1244646.73328617, 1244343.21565039, 1244631.60224629, 1244645.99092936, 1244451.13649563, 
1244669.92154259, 1244662.03055547, 1244691.39534226, 1244364.78405504, 1244679.31572175)
"2","5",11.3124346374868,10.1812040196188,44.0760600956538,0,41.0851892646252,-0.438407379863565,23882.8529832639,164.78036764166,9300,c(2682615.3327313, 2682616.3501276, 2682618.66360501, 2682619.47465681, 2682623.18928951, 2682624.90742149, 2682627.43114952, 2682631.68779253, 2682638.93159612, 2682643.23554809, 2682647.12289603, 2682654.19837933, 2682658.68297074, 2682660.27340528, 2682672.12389639, 2682681.28329822, 2682685.17486531, 2682685.28630451, 2682685.39774372, 2682691.77970323, 2682722.07193889, 2682724.44812614, 2682724.48511759, 2682725.39875954, 2682728.23797278, 2682730.43877713, 2682732.0094631, 2682740.43359496, 
2682742.38058268, 2682745.85252493, 2682752.22972918, 2682772.90615371, 2682775.76755105, 2682782.37102161, 2682787.48164564, 2682812.83127444, 2682848.17827687, 2682896.01922178, 2682914.3717941, 2682914.68325659, 2682928.46117877, 2682951.85030716, 2682967.71200353, 2682986.35235698, 2683017.14843568, 2683036.24184035, 2683054.88825903, 2683069.4738839, 2683076.39246766, 2683084.50737632, 2683084.65921815, 2683084.8519424, 2683099.00923716, 2683117.62063142, 2683118.28350146, 2683138.95259439, 
2683149.54878823, 2683160.70044586, 2683167.01102774, 2683176.99359373, 2683178.65053242, 2683180.48522861, 2683182.18613799, 2683198.99942249, 2683212.61171147, 2683221.67784728, 2683222.70289794, 2683266.01654224, 2683269.90781303, 2683280.37821355, 2683302.95551235, 2683328.78003261, 2683334.31613952, 2683357.78176482, 2683361.75700462, 2683375.40310369, 2683378.95857951, 2683378.95936166, 2683379.00024648, 2683386.63202473, 2683405.79803269, 2683419.597984, 2683443.13579569, 2683456.99686965, 
2683465.39318773, 2683486.04287026, 2683486.49604267, 2683486.7973746, 2683486.79894057, 2683486.95312999, 2683493.492455, 2683513.2191341, 2683514.87901795, 2683518.67546519, 2683521.3007935, 2683524.51458675, 2683532.7859457, 2683548.99690985, 2683555.34937091, 2683555.42490029, 2683557.22014611, 2683574.45738459, 2683586.0974423, 2683605.89337782, 2683611.30689193, 2683612.77568457, 2683617.84161524, 2683621.75820603, 2683657.46551151, 2683682.42293296, 2683687.27216889, 2683690.81157579, 2683723.03156036, 
2683731.05781514, 2683735.83557072, 2683743.20188094, 2683749.47892911, 2683751.93032246, 2683752.81029713, 2683754.67798592, 2683757.67069377, 2683765.17371114, 2683771.45435745, 2683831.30154166, 2683963.71520095, 2684175.63378798, 2684317.78929743, 2684459.94480687, 2684602.10031632, 2684816.61642237, 2684949.9146327, 2685113.11483391, 2685215.37742139, 2685317.64000888, 2685478.14359755, 2685625.74568783, 2685829.1604514, 2686049.40729057, 2686260.35709611, 2686478.36931913, 2686711.87175371, 
2686954.65784881, 2687203.83588693, 2687447.45620472, 2687685.07319757, 2688044.89802638, 2688386.12365764, 2688615.67721382, 2688838.24884229, 2689044.33854868, 2689242.34685596, 2689430.49991961, 2689613.66358784, 2689779.60574238, 2689934.87599643, 2690110.16691486, 2690324.96651484, 2690575.34808956, 2690972.16389793, 2691287.16113781, 2691724.96795692, 2692018.44423601, 2692299.23148746, 2692571.79862536, 2692827.42146202, 2693058.13966115, 2693259.56574234, 2693435.16830387, 2693557.91821176, 
